City,Locality,Property Type,BHK,Area (SqFt),Price (Lakhs),Price per SqFt (Lakhs),Furnishing,Property Age (Years),Nearby Schools,Nearby Hospitals,Parking,Security,Availability
Surat,Pal,Apartment,4,3991,179.61,0.05,Semi-furnished,8,3.0,9.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Independent House,4,4879,237.41,0.05,Unfurnished,18,6.0,9.0,Yes,No,Under_Construction
Surat,Althan,Independent House,1,4645,323.92,0.07,Semi-furnished,16,6.0,10.0,No,No,Under_Construction
Ahmedabad,Satellite,Villa,3,4622,155.23,0.03,Unfurnished,8,1.0,8.0,Yes,Yes,Ready_to_Move
Surat,Pal,Apartment,4,3654,227.28,0.06,Semi-furnished,28,5.0,2.0,No,No,Under_Construction
Surat,Vesu,Apartment,5,3795,13.85,0.0,Semi-furnished,26,6.0,9.0,Yes,No,Under_Construction
Surat,Vesu,Independent House,4,1105,187.86,0.17,Unfurnished,27,1.0,9.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Independent House,1,536,358.17,0.67,Unfurnished,13,7.0,7.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Independent House,5,4817,368.67,0.08,Furnished,3,6.0,6.0,Yes,Yes,Under_Construction
Surat,Vesu,Independent House,4,4490,297.16,0.07,Unfurnished,5,1.0,3.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Villa,1,1940,410.3,0.21,Furnished,29,10.0,7.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Independent House,1,2376,199.68,0.08,Semi-furnished,6,10.0,6.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Independent House,4,3230,212.37,0.07,Furnished,25,8.0,7.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Villa,3,3815,462.69,0.12,Furnished,27,8.0,5.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,2,3470,39.0,0.01,Semi-furnished,17,5.0,3.0,Yes,Yes,Ready_to_Move
Surat,Pal,Apartment,4,701,437.8,0.62,Semi-furnished,29,3.0,3.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,3,1366,290.67,0.21,Unfurnished,14,6.0,3.0,Yes,No,Under_Construction
Ahmedabad,Gota,Independent House,3,1448,314.25,0.22,Unfurnished,2,6.0,1.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Independent House,2,3625,66.47,0.02,Unfurnished,21,1.0,3.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,1,1904,485.27,0.25,Semi-furnished,4,1.0,9.0,No,No,Ready_to_Move
Ahmedabad,Gota,Independent House,2,4302,161.12,0.04,Furnished,23,7.0,1.0,No,Yes,Ready_to_Move
Surat,Adajan,Independent House,4,2388,470.42,0.2,Furnished,24,7.0,8.0,Yes,Yes,Under_Construction
Surat,Adajan,Villa,1,1124,479.31,0.43,Semi-furnished,9,7.0,5.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,5,2376,491.0,0.21,Semi-furnished,8,4.0,7.0,Yes,No,Under_Construction
Surat,Althan,Villa,1,3768,339.08,0.09,Semi-furnished,20,9.0,8.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Independent House,2,2601,308.55,0.12,Unfurnished,26,5.0,6.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,5,1294,83.55,0.06,Semi-furnished,7,10.0,7.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Independent House,2,2390,375.77,0.16,Semi-furnished,12,7.0,6.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Apartment,1,2663,108.08,0.04,Semi-furnished,17,2.0,9.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,1,4314,426.43,0.1,Unfurnished,33,9.0,1.0,No,No,Under_Construction
Surat,Adajan,Independent House,1,4178,212.49,0.05,Furnished,27,8.0,10.0,No,No,Under_Construction
Surat,Vesu,Apartment,4,3102,238.75,0.08,Unfurnished,25,1.0,5.0,Yes,No,Ready_to_Move
Surat,Vesu,Villa,2,783,315.71,0.4,Semi-furnished,16,2.0,2.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,1,4803,222.95,0.05,Semi-furnished,26,8.0,2.0,No,Yes,Under_Construction
Ahmedabad,Gota,Apartment,4,4761,181.76,0.04,Semi-furnished,17,4.0,4.0,No,Yes,Under_Construction
Ahmedabad,Gota,Villa,5,4335,381.15,0.09,Semi-furnished,24,1.0,10.0,Yes,No,Ready_to_Move
Surat,Piplod,Villa,4,4225,145.74,0.03,Unfurnished,23,4.0,8.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,3,1342,389.81,0.29,Semi-furnished,7,1.0,2.0,Yes,No,Under_Construction
Surat,Althan,Apartment,4,1537,482.56,0.31,Unfurnished,13,2.0,7.0,No,Yes,Under_Construction
Ahmedabad,Gota,Independent House,5,1373,291.91,0.21,Semi-furnished,4,1.0,7.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,4,2381,69.83,0.03,Furnished,20,8.0,5.0,No,Yes,Under_Construction
Ahmedabad,Gota,Independent House,4,2590,313.63,0.12,Unfurnished,22,3.0,1.0,Yes,Yes,Under_Construction
Surat,Pal,Apartment,2,2049,287.65,0.14,Unfurnished,30,6.0,6.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Independent House,4,3238,191.08,0.06,Furnished,17,3.0,2.0,No,No,Under_Construction
Ahmedabad,Bopal,Apartment,5,3324,242.78,0.07,Semi-furnished,24,4.0,10.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Villa,3,4922,442.5,0.09,Furnished,8,4.0,8.0,Yes,Yes,Under_Construction
Surat,Pal,Apartment,2,4283,38.01,0.01,Semi-furnished,22,10.0,6.0,No,No,Under_Construction
Ahmedabad,Bopal,Villa,3,1270,48.82,0.04,Furnished,8,5.0,7.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,5,528,20.11,0.04,Unfurnished,4,9.0,9.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Apartment,5,2365,442.51,0.19,Unfurnished,20,7.0,1.0,No,Yes,Ready_to_Move
Surat,Piplod,Apartment,5,4406,431.7,0.1,Semi-furnished,12,1.0,9.0,No,Yes,Ready_to_Move
Surat,Pal,Independent House,3,3515,363.48,0.1,Unfurnished,6,1.0,9.0,Yes,Yes,Under_Construction
Surat,Piplod,Apartment,2,3734,340.06,0.09,Semi-furnished,20,6.0,5.0,Yes,Yes,Ready_to_Move
Surat,Pal,Villa,2,3672,474.61,0.13,Furnished,34,10.0,8.0,No,Yes,Under_Construction
Surat,Adajan,Independent House,3,701,165.06,0.24,Furnished,12,7.0,10.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Villa,3,3717,32.51,0.01,Furnished,5,6.0,8.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Villa,1,3078,394.94,0.13,Unfurnished,14,5.0,6.0,Yes,No,Ready_to_Move
Ahmedabad,Satellite,Independent House,2,2464,91.16,0.04,Furnished,7,7.0,1.0,Yes,No,Under_Construction
Surat,Vesu,Villa,5,2507,73.64,0.03,Furnished,31,9.0,2.0,No,Yes,Ready_to_Move
Surat,Vesu,Villa,3,3972,329.93,0.08,Unfurnished,13,6.0,7.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,2,4545,314.42,0.07,Furnished,12,5.0,10.0,Yes,No,Ready_to_Move
Surat,Pal,Apartment,3,2630,253.38,0.1,Semi-furnished,16,1.0,10.0,Yes,No,Ready_to_Move
Surat,Pal,Villa,5,3179,56.71,0.02,Furnished,12,9.0,3.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Villa,1,4026,493.93,0.12,Semi-furnished,6,8.0,4.0,No,No,Under_Construction
Surat,Piplod,Independent House,3,3207,217.68,0.07,Unfurnished,17,5.0,5.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,4,2456,87.8,0.04,Unfurnished,4,6.0,8.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,3,3288,366.94,0.11,Semi-furnished,31,6.0,4.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,2,2238,28.91,0.01,Furnished,13,2.0,2.0,No,No,Ready_to_Move
Surat,Vesu,Independent House,2,2216,474.02,0.21,Furnished,5,5.0,9.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Apartment,4,1677,38.01,0.02,Semi-furnished,15,4.0,6.0,Yes,No,Under_Construction
Surat,Althan,Villa,5,660,472.38,0.72,Unfurnished,14,3.0,8.0,Yes,Yes,Under_Construction
Surat,Althan,Villa,5,1566,95.08,0.06,Unfurnished,20,10.0,6.0,No,Yes,Under_Construction
Ahmedabad,Gota,Villa,1,1529,421.56,0.28,Unfurnished,31,8.0,3.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,4,1674,382.97,0.23,Furnished,23,1.0,2.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Villa,3,4047,15.74,0.0,Semi-furnished,5,9.0,4.0,No,No,Under_Construction
Surat,Pal,Apartment,1,3958,182.81,0.05,Semi-furnished,9,10.0,3.0,No,No,Under_Construction
Ahmedabad,Satellite,Apartment,4,1458,293.6,0.2,Furnished,2,8.0,5.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,1,2848,282.3,0.1,Semi-furnished,10,3.0,10.0,No,Yes,Ready_to_Move
Surat,Piplod,Independent House,3,3889,242.27,0.06,Unfurnished,18,9.0,3.0,No,Yes,Under_Construction
Surat,Adajan,Villa,1,810,53.47,0.07,Semi-furnished,23,7.0,9.0,No,Yes,Ready_to_Move
Ahmedabad,Bopal,Independent House,3,4488,354.11,0.08,Unfurnished,20,10.0,4.0,Yes,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,5,1686,437.95,0.26,Unfurnished,18,5.0,2.0,No,No,Under_Construction
Ahmedabad,SG Highway,Apartment,5,4554,174.31,0.04,Furnished,30,2.0,5.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Villa,1,773,246.78,0.32,Unfurnished,23,7.0,1.0,No,No,Ready_to_Move
Surat,Vesu,Independent House,5,3994,462.31,0.12,Unfurnished,7,5.0,5.0,Yes,No,Ready_to_Move
Surat,Adajan,Independent House,3,2022,164.66,0.08,Furnished,25,8.0,3.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Apartment,2,4572,169.63,0.04,Unfurnished,5,6.0,7.0,No,No,Under_Construction
Ahmedabad,Satellite,Apartment,4,834,178.57,0.21,Unfurnished,16,4.0,10.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Apartment,3,4776,346.63,0.07,Unfurnished,12,2.0,6.0,No,Yes,Ready_to_Move
Surat,Vesu,Villa,4,3451,212.95,0.06,Semi-furnished,3,5.0,9.0,No,No,Ready_to_Move
Surat,Althan,Villa,2,866,291.71,0.34,Furnished,10,6.0,1.0,No,Yes,Under_Construction
Surat,Piplod,Villa,4,3159,89.86,0.03,Furnished,9,8.0,3.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Apartment,2,4964,313.34,0.06,Semi-furnished,19,8.0,1.0,Yes,No,Ready_to_Move
Surat,Adajan,Independent House,2,4635,47.83,0.01,Unfurnished,20,6.0,5.0,No,No,Ready_to_Move
Surat,Adajan,Apartment,2,2397,18.99,0.01,Furnished,2,7.0,3.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Independent House,1,1186,147.9,0.12,Unfurnished,30,2.0,6.0,No,Yes,Under_Construction
Surat,Althan,Villa,1,2092,465.38,0.22,Unfurnished,26,7.0,3.0,No,Yes,Under_Construction
Ahmedabad,Gota,Apartment,2,4515,327.58,0.07,Semi-furnished,11,1.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Independent House,2,4182,142.48,0.03,Unfurnished,2,10.0,7.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,1,4937,201.75,0.04,Unfurnished,24,5.0,5.0,Yes,Yes,Under_Construction
Surat,Vesu,Villa,3,1823,378.64,0.21,Semi-furnished,35,8.0,9.0,Yes,No,Ready_to_Move
Ahmedabad,SG Highway,Independent House,2,3040,478.15,0.16,Semi-furnished,7,2.0,3.0,No,No,Under_Construction
Surat,Pal,Independent House,4,4476,278.75,0.06,Furnished,18,1.0,2.0,No,Yes,Ready_to_Move
Surat,Althan,Apartment,2,2575,165.24,0.06,Furnished,6,3.0,8.0,No,No,Under_Construction
Surat,Piplod,Villa,3,1327,182.87,0.14,Semi-furnished,33,8.0,3.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Apartment,1,2188,173.85,0.08,Unfurnished,11,2.0,2.0,No,Yes,Ready_to_Move
Surat,Vesu,Apartment,1,2131,393.42,0.18,Semi-furnished,4,6.0,1.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Apartment,3,537,131.67,0.25,Semi-furnished,27,10.0,9.0,No,Yes,Ready_to_Move
Surat,Althan,Independent House,5,1229,153.83,0.13,Furnished,16,9.0,10.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Independent House,5,3249,458.04,0.14,Semi-furnished,30,8.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Independent House,3,3778,185.43,0.05,Furnished,13,3.0,6.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,5,3758,242.79,0.06,Furnished,18,6.0,1.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Independent House,3,2443,287.39,0.12,Semi-furnished,12,5.0,4.0,No,No,Under_Construction
Surat,Althan,Apartment,2,3271,115.55,0.04,Furnished,11,9.0,6.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,5,1470,175.62,0.12,Unfurnished,23,1.0,4.0,Yes,No,Ready_to_Move
Surat,Pal,Villa,4,2588,366.48,0.14,Furnished,22,7.0,10.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,3,4068,275.0,0.07,Unfurnished,28,2.0,4.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Villa,5,4220,391.68,0.09,Semi-furnished,4,3.0,1.0,Yes,No,Under_Construction
Surat,Vesu,Independent House,4,962,414.11,0.43,Semi-furnished,19,8.0,2.0,No,No,Under_Construction
Surat,Pal,Independent House,4,2116,185.6,0.09,Semi-furnished,33,4.0,6.0,No,No,Under_Construction
Ahmedabad,Gota,Apartment,2,3969,266.71,0.07,Furnished,5,4.0,2.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Villa,1,3893,32.39,0.01,Furnished,16,5.0,1.0,Yes,Yes,Under_Construction
Surat,Piplod,Villa,1,1539,347.02,0.23,Semi-furnished,30,10.0,3.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Villa,1,2779,170.88,0.06,Unfurnished,12,10.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Villa,1,3042,167.73,0.06,Furnished,19,6.0,8.0,No,No,Ready_to_Move
Surat,Piplod,Apartment,5,4388,462.66,0.11,Semi-furnished,28,3.0,2.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,1,1909,281.06,0.15,Furnished,24,9.0,9.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,3,1849,302.91,0.16,Furnished,6,5.0,1.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Independent House,1,3595,180.61,0.05,Furnished,32,4.0,1.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,5,3595,268.67,0.07,Furnished,18,6.0,7.0,No,Yes,Under_Construction
Ahmedabad,Bopal,Villa,1,2465,69.7,0.03,Furnished,11,3.0,8.0,Yes,No,Ready_to_Move
Surat,Adajan,Independent House,3,4133,422.16,0.1,Furnished,15,5.0,7.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Independent House,2,2941,240.78,0.08,Unfurnished,23,2.0,10.0,No,No,Under_Construction
Ahmedabad,Satellite,Independent House,2,3407,448.01,0.13,Furnished,13,6.0,5.0,Yes,No,Ready_to_Move
Ahmedabad,SG Highway,Independent House,3,884,274.02,0.31,Unfurnished,25,7.0,6.0,No,No,Under_Construction
Surat,Piplod,Villa,3,3234,448.03,0.14,Unfurnished,29,1.0,1.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Independent House,4,592,497.56,0.84,Unfurnished,5,8.0,8.0,No,No,Under_Construction
Ahmedabad,Bopal,Independent House,2,1145,272.94,0.24,Unfurnished,4,7.0,8.0,No,No,Under_Construction
Surat,Althan,Independent House,1,2641,97.05,0.04,Furnished,23,10.0,8.0,Yes,No,Under_Construction
Surat,Piplod,Villa,5,4420,41.13,0.01,Semi-furnished,11,9.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,2,1962,256.55,0.13,Unfurnished,9,4.0,5.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Apartment,4,2739,102.3,0.04,Semi-furnished,8,8.0,9.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Villa,2,1785,463.37,0.26,Unfurnished,18,2.0,5.0,No,Yes,Ready_to_Move
Surat,Adajan,Apartment,4,4805,253.4,0.05,Furnished,19,2.0,8.0,No,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,2,4612,199.75,0.04,Semi-furnished,6,7.0,5.0,Yes,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,4,3889,196.56,0.05,Semi-furnished,22,8.0,3.0,Yes,No,Under_Construction
Surat,Vesu,Villa,5,2604,92.03,0.04,Furnished,4,9.0,2.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Apartment,4,1262,444.42,0.35,Unfurnished,3,8.0,10.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,5,932,384.64,0.41,Furnished,35,7.0,7.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,5,2422,130.54,0.05,Unfurnished,32,7.0,10.0,No,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,4,3604,319.05,0.09,Unfurnished,29,6.0,7.0,Yes,No,Under_Construction
Surat,Vesu,Apartment,3,3816,326.14,0.09,Furnished,3,2.0,10.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,5,597,326.03,0.55,Semi-furnished,12,5.0,6.0,No,Yes,Ready_to_Move
Surat,Althan,Villa,3,4938,458.89,0.09,Semi-furnished,5,9.0,1.0,Yes,No,Under_Construction
Ahmedabad,Gota,Villa,2,4683,474.17,0.1,Semi-furnished,28,4.0,1.0,Yes,Yes,Under_Construction
Surat,Piplod,Apartment,1,4465,192.7,0.04,Furnished,24,6.0,7.0,No,No,Ready_to_Move
Surat,Althan,Apartment,5,3425,96.13,0.03,Semi-furnished,12,8.0,4.0,Yes,Yes,Ready_to_Move
Surat,Pal,Independent House,5,4809,132.47,0.03,Semi-furnished,7,9.0,6.0,Yes,No,Ready_to_Move
Surat,Adajan,Villa,3,1906,94.12,0.05,Furnished,9,6.0,1.0,No,Yes,Under_Construction
Surat,Pal,Apartment,1,2680,243.21,0.09,Semi-furnished,8,8.0,5.0,Yes,Yes,Ready_to_Move
Surat,Althan,Apartment,1,2286,259.4,0.11,Unfurnished,25,4.0,1.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Apartment,4,3326,21.84,0.01,Semi-furnished,5,7.0,9.0,Yes,Yes,Under_Construction
Surat,Althan,Villa,5,2335,27.78,0.01,Semi-furnished,21,8.0,4.0,No,No,Under_Construction
Ahmedabad,Gota,Villa,3,2987,309.53,0.1,Semi-furnished,16,8.0,7.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,1,4825,477.64,0.1,Furnished,23,8.0,7.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,2,3952,137.78,0.03,Unfurnished,27,2.0,4.0,Yes,Yes,Ready_to_Move
Surat,Pal,Apartment,1,3103,484.15,0.16,Furnished,15,5.0,3.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Independent House,1,1527,96.58,0.06,Unfurnished,25,7.0,1.0,Yes,No,Ready_to_Move
Surat,Piplod,Villa,3,3389,363.61,0.11,Semi-furnished,20,6.0,1.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,4,2317,363.01,0.16,Furnished,9,9.0,4.0,No,No,Ready_to_Move
Ahmedabad,Gota,Independent House,1,4260,214.38,0.05,Semi-furnished,32,3.0,3.0,No,No,Under_Construction
Ahmedabad,Satellite,Apartment,4,537,472.82,0.88,Unfurnished,18,3.0,10.0,No,Yes,Under_Construction
Ahmedabad,Satellite,Independent House,5,3407,262.38,0.08,Furnished,20,9.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Villa,4,2581,343.07,0.13,Semi-furnished,27,7.0,1.0,Yes,No,Under_Construction
Surat,Vesu,Villa,4,1206,447.73,0.37,Semi-furnished,18,7.0,3.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,2,2604,219.32,0.08,Semi-furnished,31,5.0,2.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,2,2863,334.81,0.12,Semi-furnished,20,7.0,4.0,No,Yes,Under_Construction
Surat,Vesu,Villa,2,4554,80.51,0.02,Unfurnished,7,6.0,1.0,No,No,Ready_to_Move
Surat,Pal,Apartment,5,3223,413.25,0.13,Furnished,12,6.0,9.0,No,Yes,Under_Construction
Surat,Pal,Independent House,4,4653,327.15,0.07,Unfurnished,18,8.0,5.0,No,Yes,Under_Construction
