city,locality,property_type,bhk,area,furnishing,age,parking,price
Surat,Adajan,Apartment,2,2397,Furnished,2,No,18.99
Ahmedabad,Bopal,Independent House,1,1186,Unfurnished,30,No,147.9
Ahmedabad,Navrangpura,Independent House,2,4182,Unfurnished,2,No,142.48
Surat,Althan,Apartment,2,2575,Furnished,6,No,165.24
Surat,Piplod,Villa,3,1327,Semi-furnished,33,Yes,182.87
Ahmedabad,Bopal,Apartment,1,2188,Unfurnished,11,No,173.85
Ahmedabad,SG Highway,Apartment,3,537,Semi-furnished,27,No,131.67
Surat,Althan,Independent House,5,1229,Furnished,16,Yes,153.83
Ahmedabad,Gota,Independent House,3,3778,Furnished,13,Yes,185.43
Surat,Althan,Apartment,2,3271,Furnished,11,Yes,115.55
Ahmedabad,Navrangpura,Independent House,5,1470,Unfurnished,23,Yes,175.62
Surat,Pal,Independent House,4,2116,Semi-furnished,33,No,185.6
Ahmedabad,Bopal,Villa,1,3893,Furnished,16,Yes,32.39
Ahmedabad,Satellite,Villa,1,2779,Unfurnished,12,Yes,170.88
Ahmedabad,Bopal,Villa,1,3042,Furnished,19,No,167.73
Ahmedabad,Navrangpura,Independent House,1,3595,Furnished,32,No,180.61
Ahmedabad,Bopal,Villa,1,2465,Furnished,11,Yes,69.7
Surat,Althan,Independent House,1,2641,Furnished,23,Yes,97.05
Surat,Piplod,Villa,5,4420,Semi-furnished,11,Yes,41.13
Ahmedabad,Gota,Apartment,4,2739,Semi-furnished,8,Yes,102.3
Ahmedabad,Bopal,Apartment,2,4612,Semi-furnished,6,Yes,199.75
Ahmedabad,SG Highway,Villa,4,3889,Semi-furnished,22,Yes,196.56
Surat,Vesu,Villa,5,2604,Furnished,4,Yes,92.03
Ahmedabad,SG Highway,Villa,5,2422,Unfurnished,32,No,130.54
Surat,Piplod,Apartment,1,4465,Furnished,24,No,192.7
Surat,Althan,Apartment,5,3425,Semi-furnished,12,Yes,96.13
Surat,Pal,Independent House,5,4809,Semi-furnished,7,Yes,132.47
Surat,Adajan,Villa,3,1906,Furnished,9,No,94.12
Ahmedabad,SG Highway,Apartment,4,3326,Semi-furnished,5,Yes,21.84
Surat,Althan,Villa,5,2335,Semi-furnished,21,No,27.78
Surat,Pal,Independent House,2,3952,Unfurnished,27,Yes,137.78
Ahmedabad,Bopal,Independent House,1,1527,Unfurnished,25,Yes,96.58
Surat,Vesu,Villa,2,4554,Unfurnished,7,No,80.51
Ahmedabad,Navrangpura,Apartment,1,4854,Unfurnished,12,Yes,61.22
Surat,Althan,Independent House,3,1148,Unfurnished,23,No,181.93
Ahmedabad,Bopal,Apartment,4,1448,Semi-furnished,13,Yes,158.95
Ahmedabad,SG Highway,Apartment,3,3007,Unfurnished,14,Yes,67.65
Surat,Pal,Villa,3,1566,Furnished,12,Yes,40.87
Ahmedabad,Navrangpura,Villa,4,628,Furnished,13,No,197.5
Surat,Piplod,Villa,1,858,Semi-furnished,10,No,42.66
Ahmedabad,Satellite,Independent House,2,2075,Semi-furnished,25,No,50.44
Surat,Adajan,Independent House,5,1774,Furnished,26,Yes,93.04
Surat,Vesu,Apartment,2,2348,Unfurnished,21,No,25.51
Surat,Vesu,Independent House,1,3886,Furnished,25,Yes,30.14
Ahmedabad,Bopal,Apartment,4,1258,Semi-furnished,27,No,96.02
Ahmedabad,Bopal,Apartment,5,1969,Unfurnished,15,No,52.45
Ahmedabad,Satellite,Independent House,4,3162,Unfurnished,20,Yes,62.75
Ahmedabad,Navrangpura,Apartment,4,650,Semi-furnished,26,Yes,38.94
Ahmedabad,Satellite,Apartment,3,4458,Semi-furnished,22,Yes,39.17
Ahmedabad,Gota,Apartment,2,678,Unfurnished,27,Yes,11.41
Surat,Althan,Villa,4,3900,Unfurnished,18,Yes,186.43
Surat,Althan,Villa,2,4605,Furnished,11,No,175.84
Ahmedabad,SG Highway,Villa,3,3336,Furnished,23,Yes,70.05
Ahmedabad,Bopal,Apartment,4,580,Unfurnished,15,Yes,105.55
Surat,Adajan,Apartment,4,1114,Unfurnished,33,Yes,164.27
Ahmedabad,Satellite,Independent House,1,2520,Semi-furnished,26,Yes,132.73
Ahmedabad,Bopal,Villa,2,860,Unfurnished,29,No,18.81
Ahmedabad,Bopal,Independent House,5,4838,Unfurnished,28,Yes,110.72
Ahmedabad,Gota,Villa,2,4638,Furnished,7,No,112.7
Ahmedabad,Bopal,Villa,3,1045,Furnished,32,No,144.4
Surat,Adajan,Apartment,1,1951,Semi-furnished,11,Yes,119.57
Ahmedabad,Bopal,Apartment,1,1219,Unfurnished,24,Yes,80.75
Surat,Pal,Apartment,1,1527,Semi-furnished,12,Yes,59.53
Surat,Piplod,Apartment,4,4524,Furnished,24,Yes,146.26
Ahmedabad,Gota,Independent House,2,746,Semi-furnished,17,Yes,34.69
Surat,Adajan,Villa,3,4457,Unfurnished,32,No,32.72
Surat,Adajan,Apartment,3,1011,Unfurnished,28,Yes,57.09
Ahmedabad,Satellite,Villa,4,1724,Semi-furnished,14,Yes,189.81
Surat,Vesu,Villa,1,2968,Unfurnished,25,Yes,40.31
Surat,Althan,Apartment,4,2987,Unfurnished,20,No,52.23
Surat,Adajan,Independent House,4,1609,Furnished,25,No,48.49
Ahmedabad,SG Highway,Apartment,3,3481,Semi-furnished,26,No,12.15
Surat,Adajan,Apartment,1,3636,Unfurnished,24,Yes,119.81
Surat,Vesu,Apartment,4,4098,Unfurnished,27,Yes,17.87
Ahmedabad,Bopal,Villa,1,4028,Unfurnished,21,Yes,151.58
Ahmedabad,Gota,Apartment,4,2630,Furnished,13,Yes,30.44
Ahmedabad,Satellite,Apartment,5,772,Semi-furnished,33,Yes,50.56
Ahmedabad,Bopal,Independent House,3,2731,Semi-furnished,25,Yes,130.41
Ahmedabad,SG Highway,Apartment,3,4500,Furnished,35,No,31.65
Surat,Vesu,Villa,3,4472,Furnished,33,No,159.15
Surat,Pal,Independent House,5,4232,Semi-furnished,13,No,171.4
Surat,Althan,Villa,2,3637,Furnished,16,No,199.22
Ahmedabad,Bopal,Apartment,4,1899,Unfurnished,28,No,86.68
Surat,Pal,Villa,2,3742,Semi-furnished,29,No,138.32
Surat,Althan,Villa,2,515,Semi-furnished,22,No,81.89
Surat,Piplod,Independent House,2,3570,Semi-furnished,2,No,28.46
Ahmedabad,SG Highway,Villa,4,2394,Unfurnished,6,Yes,87.8
Surat,Adajan,Villa,2,2384,Furnished,20,No,149.96
Surat,Pal,Villa,3,763,Unfurnished,23,No,62.94
Ahmedabad,Satellite,Villa,3,3859,Unfurnished,33,No,42.0
Surat,Althan,Villa,5,1447,Furnished,35,Yes,124.64
Surat,Adajan,Apartment,4,3540,Furnished,7,Yes,99.44
Surat,Althan,Independent House,3,3994,Semi-furnished,27,Yes,193.05
Ahmedabad,Bopal,Apartment,4,2402,Semi-furnished,33,No,118.59
Surat,Althan,Independent House,4,4562,Semi-furnished,13,No,183.61
Ahmedabad,Bopal,Villa,4,685,Unfurnished,21,Yes,42.62
Surat,Althan,Apartment,1,860,Furnished,34,No,98.1
Ahmedabad,Satellite,Independent House,2,549,Furnished,30,Yes,133.83
Ahmedabad,SG Highway,Independent House,5,4134,Furnished,33,Yes,28.07
Surat,Vesu,Apartment,1,1743,Unfurnished,33,Yes,79.04
Surat,Vesu,Apartment,1,1506,Semi-furnished,25,No,146.43
Ahmedabad,Gota,Independent House,1,2427,Unfurnished,2,No,166.07
Surat,Althan,Villa,1,1876,Unfurnished,34,No,179.96
Ahmedabad,SG Highway,Villa,5,3038,Furnished,25,Yes,85.88
Ahmedabad,Bopal,Villa,2,3657,Furnished,28,Yes,39.18
Surat,Pal,Independent House,3,4270,Unfurnished,23,Yes,169.22
Surat,Pal,Villa,4,2989,Furnished,4,No,54.22
Ahmedabad,Bopal,Apartment,2,867,Unfurnished,16,No,43.38
Surat,Adajan,Villa,3,2530,Semi-furnished,9,No,97.76
Ahmedabad,Bopal,Villa,5,1456,Furnished,33,No,62.56
Surat,Piplod,Independent House,4,1754,Unfurnished,33,Yes,51.86
Surat,Pal,Villa,3,1671,Unfurnished,11,Yes,125.37
Ahmedabad,SG Highway,Apartment,5,3947,Unfurnished,21,No,140.23
Surat,Althan,Villa,5,4610,Furnished,12,No,180.13
Ahmedabad,Navrangpura,Apartment,3,3403,Unfurnished,28,No,173.46
Surat,Piplod,Independent House,3,1558,Unfurnished,20,Yes,20.88
Ahmedabad,SG Highway,Apartment,1,2273,Semi-furnished,34,No,176.54
Surat,Piplod,Villa,5,4453,Unfurnished,3,No,120.53
Ahmedabad,Bopal,Villa,4,1069,Semi-furnished,19,Yes,179.51
Ahmedabad,Navrangpura,Apartment,4,3070,Unfurnished,28,Yes,190.94
Surat,Adajan,Independent House,4,1520,Furnished,32,Yes,106.75
Surat,Althan,Villa,5,3367,Semi-furnished,10,No,126.57
Ahmedabad,Gota,Villa,3,4106,Unfurnished,18,No,185.44
Surat,Vesu,Independent House,5,1172,Furnished,19,No,145.61
Surat,Vesu,Villa,5,1568,Semi-furnished,3,No,109.16
Ahmedabad,Gota,Villa,4,4903,Semi-furnished,13,No,88.4
Ahmedabad,Navrangpura,Apartment,2,1383,Unfurnished,8,No,84.49
Surat,Althan,Villa,4,4474,Unfurnished,35,Yes,148.02
Surat,Vesu,Villa,4,3192,Unfurnished,15,No,168.58
Surat,Pal,Villa,4,1110,Semi-furnished,30,No,64.7
Surat,Vesu,Villa,5,1672,Furnished,17,Yes,143.53
Ahmedabad,Bopal,Apartment,1,1148,Unfurnished,29,Yes,176.14
Surat,Vesu,Independent House,1,946,Semi-furnished,24,No,158.55
Surat,Vesu,Villa,4,1809,Semi-furnished,27,No,128.45
Surat,Althan,Independent House,1,1405,Unfurnished,26,No,155.6
Surat,Piplod,Villa,2,3625,Unfurnished,12,No,112.33
Surat,Vesu,Apartment,3,4596,Furnished,30,No,190.64
Surat,Piplod,Independent House,1,4952,Furnished,18,Yes,50.99
Ahmedabad,SG Highway,Villa,4,3890,Unfurnished,25,Yes,93.36
Ahmedabad,SG Highway,Independent House,2,2327,Unfurnished,20,Yes,43.99
Ahmedabad,Navrangpura,Villa,3,2368,Unfurnished,23,Yes,94.76
Surat,Althan,Villa,5,2947,Furnished,31,Yes,190.63
Surat,Althan,Independent House,1,3686,Unfurnished,22,No,150.67
Surat,Piplod,Apartment,2,2430,Unfurnished,14,No,196.57
Surat,Adajan,Villa,3,722,Unfurnished,7,Yes,196.27
Ahmedabad,Satellite,Apartment,2,1261,Unfurnished,17,Yes,158.48
Ahmedabad,Satellite,Villa,1,1586,Semi-furnished,33,No,159.93
Ahmedabad,Satellite,Villa,2,2038,Unfurnished,21,Yes,114.15
Ahmedabad,Navrangpura,Villa,2,2627,Furnished,28,No,153.89
Surat,Adajan,Villa,2,3450,Semi-furnished,15,No,196.28
Surat,Althan,Villa,4,1072,Unfurnished,6,No,127.43
Ahmedabad,Navrangpura,Villa,5,4755,Semi-furnished,20,No,156.77
Ahmedabad,Navrangpura,Independent House,3,1171,Semi-furnished,16,Yes,45.52
Surat,Adajan,Apartment,1,3958,Semi-furnished,5,Yes,78.61
Surat,Althan,Villa,5,4492,Semi-furnished,12,Yes,85.07
Ahmedabad,Bopal,Independent House,5,2124,Unfurnished,22,No,16.72
Ahmedabad,Navrangpura,Villa,3,818,Furnished,24,No,136.28
Surat,Vesu,Independent House,1,4887,Furnished,13,No,79.35
Surat,Pal,Villa,4,3484,Semi-furnished,27,Yes,119.67
Surat,Vesu,Villa,1,2990,Furnished,14,No,114.31
Ahmedabad,SG Highway,Independent House,1,1594,Furnished,32,No,77.35
Surat,Althan,Apartment,1,4017,Semi-furnished,30,No,135.22
Surat,Althan,Apartment,2,3066,Furnished,28,No,38.76
Surat,Piplod,Independent House,1,561,Semi-furnished,7,No,123.86
Ahmedabad,Gota,Independent House,2,2952,Semi-furnished,8,Yes,72.38
Ahmedabad,Bopal,Apartment,4,1285,Unfurnished,20,No,65.09
Surat,Pal,Independent House,4,3462,Semi-furnished,13,No,188.27
Surat,Althan,Independent House,4,2685,Furnished,26,No,78.8
Surat,Piplod,Apartment,2,1847,Unfurnished,9,No,112.93
Ahmedabad,Navrangpura,Apartment,2,3691,Furnished,2,No,43.53
Ahmedabad,SG Highway,Independent House,1,4418,Unfurnished,26,Yes,106.27
Ahmedabad,Navrangpura,Villa,5,1544,Unfurnished,12,No,157.71
Surat,Adajan,Independent House,2,1836,Furnished,19,Yes,56.38
Ahmedabad,Gota,Independent House,2,3392,Semi-furnished,2,No,191.68
Surat,Adajan,Apartment,4,3699,Semi-furnished,31,Yes,162.23
Ahmedabad,Bopal,Independent House,3,1470,Unfurnished,33,No,105.7
Surat,Vesu,Apartment,3,2791,Unfurnished,15,No,58.3
Surat,Adajan,Villa,4,1624,Unfurnished,23,Yes,170.92
Ahmedabad,Bopal,Independent House,1,4444,Unfurnished,25,No,186.18
Surat,Adajan,Independent House,1,3658,Semi-furnished,12,Yes,173.17
Ahmedabad,Gota,Apartment,1,1354,Semi-furnished,29,Yes,119.46
Surat,Althan,Apartment,3,2309,Semi-furnished,5,Yes,48.72
Surat,Pal,Independent House,4,2370,Furnished,33,No,89.22
Surat,Pal,Apartment,3,644,Unfurnished,10,Yes,48.02
Surat,Althan,Independent House,5,4622,Semi-furnished,35,No,174.02
Surat,Piplod,Apartment,2,1996,Furnished,10,No,85.82
Surat,Vesu,Independent House,4,900,Semi-furnished,5,No,166.61
Surat,Althan,Apartment,3,1238,Semi-furnished,11,No,47.27
Ahmedabad,Satellite,Villa,1,2844,Unfurnished,5,Yes,103.81
Surat,Piplod,Villa,2,866,Semi-furnished,22,No,80.36
Surat,Adajan,Independent House,4,4734,Furnished,28,Yes,110.02
Ahmedabad,Navrangpura,Villa,3,2880,Furnished,15,Yes,37.73
Ahmedabad,SG Highway,Apartment,2,648,Semi-furnished,11,Yes,64.02
Surat,Pal,Villa,3,1347,Furnished,7,No,17.03
Ahmedabad,Satellite,Independent House,1,1906,Unfurnished,23,Yes,155.61
Ahmedabad,Satellite,Villa,1,3669,Unfurnished,6,No,61.98
Surat,Vesu,Apartment,2,1277,Furnished,29,Yes,121.31
Ahmedabad,SG Highway,Independent House,1,2967,Unfurnished,15,No,95.67
Ahmedabad,Satellite,Villa,3,2981,Semi-furnished,23,Yes,110.05
Ahmedabad,Navrangpura,Apartment,4,1805,Furnished,24,Yes,73.38
Ahmedabad,Satellite,Independent House,1,3131,Semi-furnished,10,Yes,198.51
Surat,Althan,Apartment,5,931,Furnished,31,No,50.88
Surat,Vesu,Apartment,5,4815,Semi-furnished,24,No,11.2
Surat,Piplod,Villa,2,3737,Unfurnished,25,No,23.75
Surat,Pal,Independent House,5,3938,Unfurnished,31,Yes,42.96
Ahmedabad,Navrangpura,Independent House,3,2419,Semi-furnished,15,Yes,36.23
Ahmedabad,Satellite,Villa,1,4810,Semi-furnished,18,Yes,64.72
Surat,Althan,Villa,4,2242,Unfurnished,34,No,173.36
Ahmedabad,Bopal,Villa,1,2947,Furnished,16,Yes,59.33
Surat,Althan,Villa,4,1114,Semi-furnished,18,No,26.42
Ahmedabad,Gota,Apartment,4,2716,Unfurnished,23,Yes,69.01
Ahmedabad,Bopal,Villa,4,3308,Unfurnished,35,No,161.91
Surat,Adajan,Villa,2,2762,Semi-furnished,6,Yes,170.8
Ahmedabad,Gota,Independent House,5,927,Unfurnished,29,No,69.51
Ahmedabad,Bopal,Independent House,1,3296,Semi-furnished,32,Yes,97.99
Surat,Piplod,Apartment,2,2141,Furnished,11,Yes,78.0
Surat,Pal,Apartment,2,1050,Furnished,18,No,173.75
Ahmedabad,Gota,Independent House,3,1801,Unfurnished,24,No,99.3
Ahmedabad,Bopal,Villa,2,4090,Furnished,5,No,138.88
Ahmedabad,Satellite,Independent House,3,3364,Unfurnished,32,No,188.85
Ahmedabad,Navrangpura,Apartment,1,2434,Semi-furnished,3,No,143.58
Surat,Piplod,Independent House,3,3680,Semi-furnished,24,Yes,12.84
Surat,Pal,Independent House,5,4843,Semi-furnished,4,Yes,115.27
Surat,Piplod,Villa,5,4934,Semi-furnished,13,Yes,36.63
Ahmedabad,Bopal,Independent House,3,889,Semi-furnished,12,Yes,103.13
Ahmedabad,SG Highway,Villa,3,4759,Semi-furnished,26,Yes,100.09
Surat,Vesu,Apartment,5,1432,Furnished,11,No,25.78
Ahmedabad,Gota,Apartment,2,3623,Unfurnished,9,No,98.58
Surat,Piplod,Independent House,4,559,Semi-furnished,9,No,122.15
Ahmedabad,Navrangpura,Independent House,2,3938,Semi-furnished,31,Yes,81.08
Surat,Althan,Independent House,3,4596,Semi-furnished,13,No,90.79
Ahmedabad,Navrangpura,Villa,3,4524,Semi-furnished,12,Yes,45.61
Surat,Pal,Apartment,5,3724,Furnished,19,Yes,117.4
Ahmedabad,Bopal,Independent House,1,4708,Unfurnished,31,No,18.05
Ahmedabad,Gota,Villa,5,3869,Semi-furnished,27,Yes,160.33
Ahmedabad,Navrangpura,Villa,2,1533,Furnished,17,No,112.64
Surat,Piplod,Villa,1,3899,Furnished,21,Yes,103.83
Ahmedabad,SG Highway,Independent House,2,4543,Furnished,4,Yes,133.6
Surat,Piplod,Apartment,5,3175,Semi-furnished,30,Yes,126.39
Ahmedabad,Bopal,Apartment,4,4251,Semi-furnished,6,No,170.44
Surat,Adajan,Independent House,1,4849,Semi-furnished,29,No,17.39
Ahmedabad,Bopal,Independent House,1,999,Unfurnished,18,No,20.75
Surat,Pal,Independent House,2,4760,Semi-furnished,18,No,78.95
Surat,Pal,Independent House,4,3105,Semi-furnished,13,Yes,164.28
Surat,Pal,Independent House,5,1265,Unfurnished,10,No,82.99
Ahmedabad,Navrangpura,Independent House,4,1336,Semi-furnished,14,No,127.35
Surat,Vesu,Apartment,1,4810,Unfurnished,17,No,110.41
Surat,Adajan,Independent House,4,1663,Furnished,4,No,190.82
Surat,Piplod,Apartment,1,3548,Unfurnished,29,Yes,111.78
Ahmedabad,SG Highway,Villa,4,2419,Unfurnished,18,Yes,82.82
Surat,Pal,Apartment,3,1929,Semi-furnished,25,No,53.92
Surat,Althan,Independent House,2,3287,Furnished,13,Yes,146.81
Ahmedabad,Satellite,Apartment,3,3569,Unfurnished,17,No,48.82
Surat,Adajan,Villa,1,3625,Semi-furnished,10,Yes,38.32
Ahmedabad,Bopal,Apartment,2,1781,Semi-furnished,22,Yes,100.65
Surat,Althan,Independent House,4,1374,Unfurnished,24,Yes,188.73
Ahmedabad,SG Highway,Apartment,3,2263,Furnished,35,Yes,16.55
Surat,Adajan,Independent House,2,3561,Unfurnished,26,Yes,96.49
Surat,Vesu,Villa,4,4371,Furnished,7,No,86.08
Surat,Adajan,Independent House,3,2230,Furnished,3,Yes,154.44
Ahmedabad,Navrangpura,Villa,5,3200,Semi-furnished,26,No,53.92
Surat,Piplod,Independent House,5,841,Semi-furnished,15,No,104.94
Surat,Pal,Independent House,3,1180,Furnished,21,No,138.33
Ahmedabad,Gota,Independent House,5,2956,Semi-furnished,31,No,195.07
Ahmedabad,Gota,Independent House,1,4122,Furnished,12,No,19.99
Surat,Pal,Independent House,2,3410,Unfurnished,31,No,186.6
Ahmedabad,Gota,Independent House,5,1417,Furnished,5,No,37.83
Surat,Althan,Independent House,1,4961,Furnished,21,No,177.23
Ahmedabad,Bopal,Villa,5,4463,Furnished,22,Yes,26.26
Ahmedabad,Bopal,Apartment,5,1774,Furnished,2,Yes,57.12
Surat,Adajan,Villa,1,4613,Furnished,16,Yes,140.69
Ahmedabad,Navrangpura,Independent House,2,1918,Unfurnished,28,No,59.52
Ahmedabad,Gota,Apartment,1,4656,Furnished,5,No,130.92
Surat,Adajan,Apartment,4,1065,Unfurnished,24,No,130.57
Surat,Piplod,Independent House,1,2704,Furnished,15,No,56.06
Surat,Althan,Apartment,4,2529,Furnished,30,No,147.7
Surat,Adajan,Independent House,2,4957,Furnished,21,Yes,134.2
Ahmedabad,Navrangpura,Independent House,3,2547,Semi-furnished,21,No,198.41
Surat,Piplod,Independent House,4,1551,Furnished,28,Yes,176.57
Surat,Vesu,Villa,5,2917,Unfurnished,7,Yes,53.98
Ahmedabad,Satellite,Villa,1,2782,Furnished,3,Yes,85.77
Ahmedabad,Navrangpura,Apartment,5,3656,Semi-furnished,14,Yes,148.33
Ahmedabad,Gota,Villa,1,1076,Unfurnished,8,No,55.7
Surat,Vesu,Apartment,3,943,Semi-furnished,3,Yes,25.94
Ahmedabad,Gota,Apartment,1,3036,Semi-furnished,26,Yes,128.74
Ahmedabad,Gota,Independent House,2,1388,Semi-furnished,32,Yes,90.96
Surat,Pal,Villa,1,3612,Semi-furnished,31,Yes,130.89
Surat,Adajan,Independent House,3,3884,Unfurnished,31,No,60.54
Ahmedabad,SG Highway,Villa,1,1272,Furnished,6,Yes,143.89
Surat,Pal,Independent House,4,4806,Unfurnished,28,Yes,16.85
Surat,Adajan,Independent House,3,1946,Unfurnished,20,Yes,91.27
Ahmedabad,Satellite,Villa,2,1631,Unfurnished,20,Yes,21.26
Ahmedabad,Navrangpura,Villa,2,2505,Semi-furnished,22,No,113.31
Ahmedabad,Gota,Villa,2,4341,Furnished,29,Yes,22.65
Ahmedabad,Navrangpura,Independent House,2,1346,Unfurnished,16,Yes,171.78
Ahmedabad,SG Highway,Apartment,2,4344,Furnished,20,No,195.53
Ahmedabad,Satellite,Apartment,3,2751,Unfurnished,24,No,133.75
Surat,Vesu,Apartment,5,3550,Semi-furnished,21,Yes,182.64
Surat,Adajan,Apartment,5,907,Furnished,16,Yes,144.88
Surat,Vesu,Villa,3,2615,Furnished,3,Yes,103.05
Ahmedabad,Satellite,Independent House,3,1419,Semi-furnished,21,No,163.94
Surat,Piplod,Independent House,3,560,Semi-furnished,16,No,143.09
Ahmedabad,Satellite,Independent House,2,4686,Semi-furnished,23,Yes,155.96
Ahmedabad,SG Highway,Villa,2,4160,Furnished,26,Yes,146.23
Surat,Althan,Independent House,4,2508,Furnished,5,Yes,102.72
Ahmedabad,Gota,Independent House,4,2874,Unfurnished,2,Yes,14.55
Ahmedabad,Satellite,Independent House,3,4606,Semi-furnished,27,No,107.08
Surat,Pal,Apartment,4,3860,Semi-furnished,15,Yes,39.81
Ahmedabad,Gota,Apartment,4,4047,Semi-furnished,4,No,125.83
Surat,Vesu,Villa,3,4462,Furnished,9,No,62.44
Ahmedabad,Bopal,Independent House,5,4416,Furnished,5,No,119.22
Ahmedabad,Bopal,Independent House,2,4366,Semi-furnished,28,No,77.4
Ahmedabad,Satellite,Villa,1,2281,Unfurnished,8,No,158.35
Surat,Pal,Apartment,5,2657,Unfurnished,27,Yes,54.76
Ahmedabad,Bopal,Apartment,4,855,Furnished,15,Yes,163.0
Ahmedabad,Navrangpura,Apartment,5,732,Furnished,2,Yes,118.76
Ahmedabad,Navrangpura,Independent House,5,2681,Furnished,31,No,34.27
Surat,Adajan,Independent House,1,4868,Unfurnished,20,No,46.0
Surat,Piplod,Villa,1,1214,Semi-furnished,23,Yes,56.95
Ahmedabad,Navrangpura,Villa,5,4272,Furnished,21,No,41.27
Surat,Adajan,Independent House,2,1146,Furnished,11,No,52.99
Ahmedabad,Gota,Villa,1,3653,Furnished,20,No,67.26
Ahmedabad,Gota,Apartment,1,1653,Semi-furnished,8,Yes,57.03
Ahmedabad,Bopal,Villa,1,3229,Unfurnished,18,No,132.09
Ahmedabad,Bopal,Villa,1,4088,Semi-furnished,8,No,16.39
Ahmedabad,Satellite,Independent House,2,4664,Furnished,28,Yes,12.42
Ahmedabad,Navrangpura,Villa,5,2311,Unfurnished,29,No,48.62
Surat,Vesu,Apartment,5,2985,Unfurnished,22,No,166.82
